id,imbd_id,title,overview,production_companies,release_date,budget,revenue,runtime,language,genres,status
467,tt0242527,The Hole,Four teenagers at a British private school secretly uncover and explore the depths of a sealed underground hole created decades ago as a possible bomb shelter.,"[{""name"": ""Cowboy Films"", ""id"": 245}, {""name"": ""Film Council"", ""id"": 246}, {""name"": ""Granada Film Productions"", ""id"": 247}, {""name"": ""Impact Pictures"", ""id"": 248}, {""name"": ""Pathé Pictures International"", ""id"": 1178}, {""name"": ""Canal+"", ""id"": 5358}]",2001-04-20,0,0,102,,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",Released
468,tt0102494,My Own Private Idaho,"In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters (River Phoenix) is a gay hustler afflicted with narcolepsy. Scott Favor (Keanu Reeves) is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant.","[{""name"": ""Fine Line Features"", ""id"": 8}]",1991-10-17,2500000,0,104,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",Released
469,tt0088184,Stranger Than Paradise,"Rootless Hungarian émigré Willie, his pal Eddie, and visiting sixteen-year-old cousin Eva always manage to make the least of any situation, whether aimlessly traversing the drab interiors and environs of New York City, Cleveland, or an anonymous Florida suburb.",[],1984-10-01,0,0,89,,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",Released
470,tt0315733,21 Grams,"This is the story of three gentle persons: Paul Rivers an ailing mathematician lovelessly married to an English émigré, Christina Peck, an upper-middle-class suburban housewife, happily married and mother of two little girls, and Jack Jordan, an ex-convict who has found in his Christian faith the strength to raise a family. They will be brought together by a terrible accident that will change their lives. By the final frame, none of them will be the same as they will learn harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably, forever.","[{""name"": ""This Is That Productions"", ""id"": 10059}, {""name"": ""Y Productions"", ""id"": 10887}, {""name"": ""Mediana Productions Filmgesellschaft"", ""id"": 10888}]",2003-09-06,20000000,60427839,124,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",Released
471,tt0129774,Bandyta,Bastard depicts the distress of needy children and the love of a nurse and a hard boiled criminal. A film from Polish director Maciej Dejczer and actor Til Schweiger’s first international film.,"[{""name"": ""Douek Productions"", ""id"": 259}]",1997-01-01,0,0,102,,"[{""id"": 18, ""name"": ""Drama""}]",Released
473,tt0138704,Pi,The debut film from Darren Aronofsky in which a mathematical genius Maximilian Cohen discovers a link in the connection between numbers and reality and thus believes he can predict the future.,"[{""name"": ""Truth and Soul Pictures Inc"", ""id"": 379}, {""name"": ""Protozoa Pictures"", ""id"": 7503}, {""name"": ""Harvest Filmworks"", ""id"": 22566}, {""name"": ""Plantain Films"", ""id"": 22567}]",1998-07-10,60000,3221152,84,,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",Released
475,tt0061418,Bonnie and Clyde,Bonnie and Clyde is based on the true stories of the gangster pair Bonnie Parker and Clyde Barrow who in the 1930s began robbing banks in U.S. cities until they were eventually killed. The film is a major landmark in the aesthetic movement known as the New Hollywood.,"[{""name"": ""Tatira-Hiller Productions"", ""id"": 273}, {""name"": ""Warner Brothers/Seven Arts"", ""id"": 4051}]",1967-07-18,2500000,50700000,111,,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",Released
476,tt0097240,Drugstore Cowboy,"Bob and his friends Dianne, Rick and Nadine have been drug addicts for years and live from one high to the next. Gus Van Sant attempts to show an intimate look into the lives of heroin addicts with his film Drugstore Cowboy.","[{""name"": ""Avenue Pictures Productions"", ""id"": 251}]",1989-09-09,2500000,4729352,100,,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",Released
479,tt0162650,Shaft,"New York police detective John Shaft arrests Walter Wade Jr. for a racially motivated slaying. But the only eyewitness disappears, and Wade jumps bail for Switzerland. Two years later Wade returns to face trial, confident his money and influence will get him acquitted -- especially since he's paid a drug kingpin to kill the witness.","[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Scott Rudin Productions"", ""id"": 258}]",2000-06-15,46000000,107196498,99,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",Released
480,tt0265343,Monsoon Wedding,From an exciting Indian wedding comes a relationship from two different times not only showing the modern but also the traditional. Different characters and stories interact with each other in director Mira Nair film where she used an Indian-American production to illustrate these themes modern day Indians are very familiar with.,"[{""name"": ""IFC Films"", ""id"": 307}, {""name"": ""Mirabai Films"", ""id"": 6235}, {""name"": ""The Criterion Collection"", ""id"": 10932}]",2001-08-30,0,0,114,,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",Released
481,tt0461894,7 Virgins,Tano is 16-years-old and is already sitting in jail. In 48 hours he’s a free man and off to the wedding of his brother. In the two days he recounts his neighborhood in a section of Sevilla.,"[{""name"": ""Tesela, P.C."", ""id"": 256}, {""name"": ""La Zanfoñia Producciones"", ""id"": 257}]",2005-10-14,0,0,86,,"[{""id"": 18, ""name"": ""Drama""}]",Released
482,tt0067741,Shaft,Cool black private eye John Shaft is hired by a crime lord to find and retrieve his kidnapped daughter.,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Shaft Productions Ltd."", ""id"": 12145}]",1971-07-02,4000000,12121618,100,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",Released
483,tt0100935,Wild at Heart,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,"[{""name"": ""Samuel Goldwyn"", ""id"": 261}]",1990-05-01,9500000,14560247,124,,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",Released
488,tt0043265,The African Queen,"At the start of the first World War, in the middle of Africa’s nowhere, a gin soaked riverboat captain is persuaded by a strong-willed missionary to go down river and face-off a German warship.","[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Independent Film Distributors"", ""id"": 262}, {""name"": ""Romulus Films"", ""id"": 3632}]",1951-12-03,1300000,10750000,105,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10752, ""name"": ""War""}, {""id"": 10749, ""name"": ""Romance""}]",Released
489,tt0119217,Good Will Hunting,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.","[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Lawrence Bender Productions"", ""id"": 2253}, {""name"": ""Be Gentlemen Limited Partnership"", ""id"": 23201}]",1997-12-05,10000000,225933435,126,,"[{""id"": 18, ""name"": ""Drama""}]",Released
490,tt0050976,The Seventh Seal,"When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.","[{""name"": ""Svensk Filmindustri (SF)"", ""id"": 6181}, {""name"": ""The Criterion Collection"", ""id"": 10932}]",1957-02-16,0,0,96,,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]",Released
492,tt0120601,Being John Malkovich,"Spike Jonze’s debut feature film is a love story mix of comedy and fantasy. The story is about an unsuccessful puppeteer named Craig, who one day at work finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters it’s mad and controlling world of overtaking another human body.","[{""name"": ""Gramercy Pictures"", ""id"": 37}, {""name"": ""Propaganda Films"", ""id"": 278}, {""name"": ""Single Cell Pictures"", ""id"": 279}]",1999-09-30,13000000,22863596,112,,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",Released
493,tt0069257,Shaft's Big Score!,John Shaft is back as the lady-loved black detective cop on the search for the murderer of a client.,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Shaft Productions Ltd."", ""id"": 12145}]",1972-06-08,1978000,10000000,104,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",Released
494,tt0070679,Shaft in Africa,"Detective John Shaft travels incognito to Ethiopia, then France, to bust a human trafficking ring.","[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Shaft Productions Ltd."", ""id"": 12145}]",1973-06-14,2142000,1458000,112,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",Released
